,TotalSleepBlock,~F1,Accuracy,AccuracyBlock,Precision,TotalSleep,Recall,SEGTBlock,SESelfBlock,SEInterval,F1,SEMarkers,SEOnlyREST,F1Block,PercentSleep,RecallBlock,SEWholeDF,Specificity,~F1Block,PrecisionBlock,SESelfBlock5Min,PercentSleepBlock,SpecificityBlock,DeltaEndBlock,DeltaStartBlock
resc_tl_LSTM_100_raw,63512.9  +- 33106.7 ,74.6  +- 15.7 ,81.6  +- 9.7 ,72.9  +- 26.0 ,82.2  +- 12.2 ,76167.5  +- 18547.9 ,86.8  +- 13.2 ,79.7  +- 16.9 ,95.8  +- 7.9 ,79.5  +- 14.6 ,83.4  +- 11.0 ,74.5  +- 17.9 ,82.0  +- 12.9 ,72.2  +- 32.4 ,62.1  +- 15.1 ,67.0  +- 34.4 ,62.1  +- 15.1 ,72.0  +- 19.1 ,65.0  +- 26.9 ,92.2  +- 22.2 ,98.8  +- 3.1 ,51.9  +- 26.8 ,93.7  +- 13.9 ,7618 +- 9838,2811 +- 3042
tl_resc_LSTM_100_raw,70042.4  +- 37164.6 ,67.4  +- 17.6 ,79.1  +- 9.6 ,74.0  +- 27.0 ,76.3  +- 12.2 ,86896.4  +- 16945.7 ,92.3  +- 9.6 ,87.3  +- 13.3 ,97.1  +- 5.8 ,88.2  +- 10.9 ,82.8  +- 9.9 ,83.1  +- 14.9 ,90.1  +- 8.9 ,72.1  +- 35.9 ,70.8  +- 13.5 ,70.6  +- 37.4 ,70.8  +- 13.5 ,58.4  +- 19.4 ,64.5  +- 26.2 ,81.3  +- 33.3 ,92.0  +- 17.3 ,57.3  +- 30.0 ,85.3  +- 19.3 ,8320 +- 11213,2678 +- 2930
LSTM_100_raw_max,277.1  +- 5280.1 ,57.6  +- 13.4 ,41.8  +- 13.3 ,25.4  +- 14.4 ,0.2  +- 4.4 ,279.9  +- 5332.6 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.2 ,0.3  +- 4.8 ,0.3  +- 4.8 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.2  +- 4.4 ,0.3  +- 5.2 ,0.2  +- 4.5 ,99.3  +- 7.8 ,38.5  +- 17.8 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.2  +- 4.4 ,100.0  +- 0.1 ,5645 +- 5007,4044 +- 3346
tl_LSTM_100_raw_max,345.2  +- 5831.4 ,57.5  +- 13.4 ,41.9  +- 13.3 ,25.5  +- 14.3 ,0.4  +- 5.7 ,397.8  +- 6399.2 ,0.3  +- 5.4 ,0.4  +- 5.5 ,0.6  +- 7.4 ,0.4  +- 5.5 ,0.4  +- 5.4 ,0.4  +- 5.5 ,0.4  +- 5.5 ,0.3  +- 5.3 ,0.3  +- 5.4 ,0.3  +- 5.0 ,0.3  +- 5.4 ,99.1  +- 8.9 ,38.4  +- 17.5 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.3  +- 4.9 ,100.0  +- 0.0 ,5663 +- 4992,4085 +- 3421
resc_tl_LSTM_100_raw_max,338.6  +- 5815.8 ,57.6  +- 13.3 ,41.9  +- 13.3 ,25.5  +- 14.3 ,0.4  +- 5.8 ,386.8  +- 6292.4 ,0.3  +- 5.4 ,0.3  +- 5.4 ,0.6  +- 7.4 ,0.3  +- 5.4 ,0.4  +- 5.4 ,0.3  +- 5.4 ,0.3  +- 5.4 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.0 ,0.3  +- 5.3 ,99.2  +- 8.5 ,38.4  +- 17.5 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.3  +- 4.9 ,100.0  +- 0.0 ,5663 +- 4992,4087 +- 3430
CNN_20_raw,84228.1  +- 29388.3 ,73.0  +- 16.3 ,81.4  +- 9.8 ,83.3  +- 20.2 ,79.6  +- 12.5 ,81901.4  +- 16632.0 ,90.9  +- 10.7 ,82.7  +- 13.8 ,85.7  +- 11.6 ,83.6  +- 11.0 ,84.1  +- 10.2 ,78.0  +- 15.2 ,86.6  +- 9.2 ,84.3  +- 25.6 ,66.7  +- 13.3 ,84.6  +- 27.6 ,66.8  +- 13.3 ,66.5  +- 18.7 ,70.0  +- 26.6 ,89.3  +- 20.5 ,97.4  +- 3.6 ,68.7  +- 23.4 ,81.2  +- 23.6 ,4451 +- 7810,2117 +- 2655
tl_CNN_20_raw,74325.6  +- 40086.8 ,66.5  +- 18.1 ,78.8  +- 9.8 ,74.6  +- 27.7 ,75.6  +- 12.4 ,88468.0  +- 16586.9 ,93.2  +- 9.3 ,87.7  +- 12.6 ,91.9  +- 11.8 ,89.0  +- 9.8 ,82.7  +- 9.9 ,83.5  +- 14.2 ,91.3  +- 7.7 ,71.9  +- 37.6 ,72.0  +- 13.1 ,72.6  +- 39.5 ,72.1  +- 13.1 ,56.6  +- 19.6 ,63.4  +- 27.6 ,77.1  +- 35.2 ,91.5  +- 18.9 ,60.7  +- 32.5 ,78.7  +- 24.8 ,8579 +- 11812,2594 +- 3022
resc_CNN_20_raw,55962.3  +- 34736.5 ,74.5  +- 14.3 ,78.4  +- 10.8 ,67.4  +- 27.7 ,85.7  +- 12.2 ,62877.1  +- 19797.1 ,74.5  +- 17.7 ,66.0  +- 19.4 ,85.0  +- 15.0 ,65.8  +- 16.9 ,78.2  +- 14.3 ,61.6  +- 19.6 ,68.5  +- 15.8 ,65.5  +- 34.5 ,51.3  +- 16.1 ,59.3  +- 36.3 ,51.3  +- 16.1 ,81.3  +- 16.4 ,61.3  +- 27.2 ,92.3  +- 21.8 ,98.9  +- 5.6 ,45.7  +- 28.2 ,94.4  +- 13.5 ,9530 +- 10267,2871 +- 3321
resc_tl_CNN_20_raw,68108.0  +- 33849.4 ,74.0  +- 15.8 ,80.5  +- 10.2 ,75.0  +- 25.6 ,82.1  +- 12.1 ,73932.0  +- 19046.8 ,84.2  +- 15.0 ,76.3  +- 17.5 ,89.5  +- 11.3 ,76.9  +- 14.8 ,82.1  +- 12.0 ,71.8  +- 18.4 ,79.7  +- 13.1 ,74.8  +- 31.4 ,60.3  +- 15.4 ,71.0  +- 34.0 ,60.3  +- 15.4 ,72.8  +- 18.6 ,65.8  +- 27.5 ,91.5  +- 21.0 ,98.6  +- 2.4 ,55.7  +- 27.4 ,90.0  +- 18.7 ,6943 +- 9658,2686 +- 3021
tl_resc_CNN_20_raw,76692.3  +- 38747.2 ,60.1  +- 19.3 ,76.1  +- 10.0 ,75.3  +- 26.6 ,72.6  +- 12.5 ,92808.0  +- 16449.5 ,93.9  +- 8.4 ,90.1  +- 11.6 ,94.6  +- 8.9 ,91.3  +- 8.8 ,81.1  +- 9.9 ,86.5  +- 13.1 ,92.8  +- 6.9 ,73.4  +- 36.3 ,75.5  +- 12.8 ,74.3  +- 38.2 ,75.6  +- 12.8 ,49.0  +- 19.9 ,62.9  +- 26.4 ,77.4  +- 34.3 ,89.4  +- 19.2 ,62.6  +- 31.3 ,76.6  +- 24.3 ,8138 +- 11330,2652 +- 2948
CNN_20_raw_max,276.6  +- 5269.6 ,57.6  +- 13.4 ,41.8  +- 13.3 ,25.4  +- 14.4 ,0.2  +- 4.4 ,280.2  +- 5337.9 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.2 ,0.3  +- 4.8 ,0.3  +- 4.8 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.2  +- 4.5 ,0.3  +- 5.2 ,0.2  +- 4.5 ,99.3  +- 7.8 ,38.5  +- 17.8 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.2  +- 4.4 ,100.0  +- 0.0 ,5645 +- 5007,4044 +- 3346
tl_CNN_20_raw_max,344.6  +- 5830.0 ,57.5  +- 13.5 ,41.9  +- 13.3 ,25.5  +- 14.3 ,0.4  +- 5.6 ,399.2  +- 6422.8 ,0.3  +- 5.4 ,0.4  +- 5.5 ,0.6  +- 7.4 ,0.4  +- 5.5 ,0.4  +- 5.3 ,0.4  +- 5.4 ,0.4  +- 5.5 ,0.3  +- 5.3 ,0.3  +- 5.4 ,0.3  +- 5.0 ,0.3  +- 5.4 ,99.1  +- 9.1 ,38.4  +- 17.5 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.3  +- 4.9 ,100.0  +- 0.0 ,5663 +- 4992,4085 +- 3422
resc_tl_CNN_20_raw_max,338.0  +- 5814.7 ,57.6  +- 13.3 ,41.9  +- 13.3 ,25.5  +- 14.3 ,0.4  +- 5.8 ,388.2  +- 6326.6 ,0.3  +- 5.4 ,0.3  +- 5.4 ,0.6  +- 7.4 ,0.3  +- 5.4 ,0.4  +- 5.4 ,0.3  +- 5.4 ,0.3  +- 5.4 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 5.0 ,0.3  +- 5.3 ,99.2  +- 8.6 ,38.4  +- 17.5 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.3  +- 4.9 ,100.0  +- 0.0 ,5663 +- 4992,4087 +- 3431
CNN_50_raw,77298.6  +- 32375.3 ,74.4  +- 16.6 ,82.5  +- 9.9 ,80.0  +- 23.6 ,80.5  +- 12.4 ,82107.4  +- 17276.3 ,92.0  +- 10.7 ,84.0  +- 14.5 ,89.9  +- 11.1 ,84.7  +- 11.5 ,85.1  +- 10.2 ,78.9  +- 15.9 ,87.8  +- 9.5 ,80.3  +- 29.4 ,66.9  +- 13.9 ,79.0  +- 31.8 ,67.0  +- 14.0 ,67.6  +- 19.5 ,69.4  +- 27.1 ,89.7  +- 22.5 ,98.0  +- 3.3 ,63.1  +- 26.0 ,85.9  +- 20.7 ,5867 +- 9246,2033 +- 2564
tl_CNN_50_raw,71057.6  +- 39264.6 ,69.7  +- 17.4 ,80.4  +- 9.7 ,73.9  +- 28.2 ,77.4  +- 12.3 ,86149.9  +- 17116.9 ,92.9  +- 10.1 ,86.7  +- 13.7 ,93.7  +- 10.3 ,88.0  +- 10.7 ,83.7  +- 10.0 ,82.2  +- 15.2 ,90.6  +- 8.6 ,71.5  +- 37.4 ,70.2  +- 13.7 ,71.1  +- 39.2 ,70.2  +- 13.7 ,60.7  +- 19.4 ,64.7  +- 27.8 ,79.0  +- 34.6 ,92.8  +- 18.7 ,58.0  +- 31.7 ,82.9  +- 22.0 ,8813 +- 12037,2501 +- 2938
resc_CNN_50_raw,62028.7  +- 33581.4 ,75.6  +- 14.4 ,80.6  +- 10.2 ,72.3  +- 26.0 ,84.8  +- 12.1 ,68742.1  +- 19573.1 ,80.6  +- 16.1 ,72.3  +- 18.7 ,90.0  +- 11.5 ,72.0  +- 15.8 ,81.4  +- 12.8 ,67.4  +- 19.2 ,74.8  +- 14.4 ,71.5  +- 32.3 ,56.1  +- 15.9 ,65.9  +- 34.5 ,56.1  +- 15.9 ,78.2  +- 17.6 ,64.7  +- 26.6 ,93.6  +- 19.6 ,99.2  +- 2.1 ,50.7  +- 27.2 ,94.5  +- 13.2 ,7850 +- 9730,2762 +- 3473
resc_tl_CNN_50_raw,67391.5  +- 32783.6 ,74.5  +- 15.6 ,81.0  +- 9.9 ,75.3  +- 24.8 ,82.5  +- 12.0 ,74420.9  +- 19351.7 ,85.1  +- 14.5 ,77.3  +- 17.7 ,91.6  +- 10.7 ,77.7  +- 15.0 ,82.6  +- 11.6 ,72.5  +- 18.6 ,80.5  +- 13.3 ,75.4  +- 30.2 ,60.7  +- 15.7 ,70.9  +- 32.9 ,60.7  +- 15.7 ,72.9  +- 18.9 ,66.3  +- 26.8 ,93.3  +- 18.1 ,98.9  +- 2.4 ,55.0  +- 26.4 ,92.0  +- 16.9 ,6695 +- 9315,2755 +- 3020
tl_resc_CNN_50_raw,73186.0  +- 38591.1 ,64.0  +- 18.2 ,77.5  +- 9.7 ,74.1  +- 27.7 ,74.4  +- 12.3 ,89339.9  +- 16870.2 ,92.6  +- 9.6 ,88.1  +- 12.9 ,95.2  +- 8.0 ,89.5  +- 9.8 ,81.8  +- 10.1 ,84.2  +- 14.3 ,91.2  +- 7.9 ,72.3  +- 36.4 ,72.8  +- 13.3 ,72.2  +- 38.3 ,72.8  +- 13.3 ,53.9  +- 19.5 ,63.9  +- 26.9 ,79.3  +- 33.7 ,91.1  +- 17.3 ,59.5  +- 30.9 ,80.7  +- 21.9 ,8446 +- 11444,2565 +- 2866
CNN_50_raw_max,263.4  +- 5017.7 ,57.7  +- 13.4 ,41.8  +- 13.3 ,25.4  +- 14.3 ,0.3  +- 4.8 ,290.6  +- 5532.1 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.2  +- 4.6 ,0.3  +- 5.0 ,0.3  +- 5.1 ,0.3  +- 4.9 ,0.3  +- 5.0 ,0.2  +- 4.6 ,0.2  +- 4.7 ,0.2  +- 4.6 ,99.3  +- 7.7 ,38.5  +- 17.7 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.2  +- 4.2 ,100.0  +- 0.0 ,5658 +- 4996,4042 +- 3346
tl_CNN_50_raw_max,342.7  +- 5825.2 ,57.5  +- 13.4 ,41.9  +- 13.3 ,25.5  +- 14.3 ,0.4  +- 5.7 ,395.3  +- 6389.8 ,0.3  +- 5.4 ,0.4  +- 5.4 ,0.6  +- 7.4 ,0.4  +- 5.5 ,0.4  +- 5.4 ,0.4  +- 5.4 ,0.4  +- 5.4 ,0.3  +- 5.3 ,0.3  +- 5.4 ,0.3  +- 5.0 ,0.3  +- 5.4 ,99.1  +- 8.9 ,38.4  +- 17.5 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.3  +- 4.9 ,100.0  +- 0.0 ,5663 +- 4992,4086 +- 3425
resc_tl_CNN_50_raw_max,336.1  +- 5810.7 ,57.6  +- 13.3 ,41.9  +- 13.3 ,25.5  +- 14.3 ,0.4  +- 5.9 ,384.3  +- 6283.8 ,0.3  +- 5.4 ,0.3  +- 5.4 ,0.6  +- 7.4 ,0.3  +- 5.4 ,0.4  +- 5.4 ,0.3  +- 5.4 ,0.3  +- 5.4 ,0.3  +- 5.2 ,0.3  +- 5.3 ,0.3  +- 4.9 ,0.3  +- 5.3 ,99.2  +- 8.5 ,38.4  +- 17.5 ,0.6  +- 7.4 ,0.6  +- 7.4 ,0.3  +- 4.9 ,100.0  +- 0.0 ,5663 +- 4992,4088 +- 3433
CNN_100_raw,73875.8  +- 33154.4 ,75.0  +- 16.9 ,82.9  +- 9.9 ,78.4  +- 24.2 ,81.3  +- 12.5 ,81268.0  +- 18071.0 ,91.7  +- 11.4 ,83.5  +- 15.4 ,92.3  +- 8.2 ,84.1  +- 12.4 ,85.3  +- 10.4 ,78.3  +- 16.6 ,87.2  +- 10.4 ,78.4  +- 30.4 ,66.2  +- 14.6 ,76.2  +- 32.8 ,66.3  +- 14.6 ,68.8  +- 20.2 ,68.1  +- 27.7 ,90.2  +- 22.7 ,98.5  +- 2.7 ,60.4  +- 26.6 ,87.8  +- 20.4 ,6414 +- 9688,2172 +- 2846
tl_CNN_100_raw,67678.2  +- 40053.1 ,70.4  +- 17.7 ,80.7  +- 9.9 ,71.4  +- 29.6 ,78.1  +- 12.4 ,85346.8  +- 18201.2 ,92.6  +- 11.1 ,86.3  +- 14.9 ,96.1  +- 7.7 ,87.5  +- 11.8 ,83.9  +- 10.4 ,81.6  +- 16.2 ,90.1  +- 9.7 ,68.9  +- 38.1 ,69.5  +- 14.6 ,67.9  +- 40.0 ,69.6  +- 14.6 ,61.9  +- 20.4 ,63.1  +- 28.3 ,79.5  +- 34.6 ,93.7  +- 17.2 ,55.0  +- 32.1 ,84.2  +- 21.4 ,9404 +- 12031,2548 +- 2962
resc_CNN_100_raw,59241.3  +- 34151.2 ,75.9  +- 14.5 ,80.9  +- 10.0 ,70.0  +- 27.3 ,85.1  +- 12.1 ,69108.5  +- 19836.8 ,81.1  +- 16.0 ,72.7  +- 18.7 ,91.9  +- 10.1 ,72.3  +- 16.1 ,81.7  +- 12.8 ,67.7  +- 19.2 ,75.1  +- 14.5 ,68.8  +- 33.8 ,56.4  +- 16.1 ,63.1  +- 35.6 ,56.4  +- 16.1 ,78.3  +- 17.9 ,63.0  +- 27.2 ,92.9  +- 21.3 ,99.3  +- 2.0 ,48.4  +- 27.5 ,94.4  +- 13.4 ,8693 +- 10168,2809 +- 3511
resc_tl_CNN_100_raw,63532.8  +- 34658.2 ,74.2  +- 15.9 ,81.1  +- 9.9 ,72.4  +- 26.5 ,82.2  +- 12.3 ,75360.1  +- 19771.2 ,85.8  +- 14.7 ,78.3  +- 18.0 ,94.2  +- 9.4 ,78.5  +- 15.4 ,82.8  +- 11.9 ,73.4  +- 18.7 ,81.3  +- 13.6 ,71.4  +- 33.2 ,61.4  +- 16.0 ,66.7  +- 35.3 ,61.5  +- 16.0 ,72.1  +- 19.5 ,64.2  +- 27.3 ,90.4  +- 24.6 ,98.9  +- 2.5 ,51.9  +- 28.0 ,92.0  +- 16.8 ,7907 +- 10226,2869 +- 3207
tl_resc_CNN_100_raw,69176.3  +- 39813.8 ,65.2  +- 18.6 ,78.2  +- 9.8 ,71.4  +- 29.0 ,75.2  +- 12.4 ,88131.7  +- 17997.6 ,92.3  +- 10.8 ,87.4  +- 14.2 ,97.1  +- 6.1 ,88.9  +- 11.0 ,82.1  +- 10.4 ,83.4  +- 15.5 ,90.8  +- 9.0 ,69.2  +- 37.6 ,71.8  +- 14.3 ,68.4  +- 39.6 ,71.8  +- 14.3 ,55.8  +- 20.4 ,62.1  +- 27.2 ,78.9  +- 34.5 ,91.7  +- 17.6 ,56.2  +- 31.9 ,81.9  +- 21.4 ,9246 +- 11732,2683 +- 2944
CNN_100_raw_max,291.5  +- 5553.1 ,57.6  +- 13.4 ,41.7  +- 13.2 ,25.4  +- 14.2 ,0.2  +- 3.6 ,309.6  +- 5899.5 ,0.2  +- 4.3 ,0.2  +- 4.2 ,0.3  +- 5.3 ,0.2  +- 4.4 ,0.2  +- 3.9 ,0.3  +- 5.1 ,0.3  +- 5.0 ,0.2  +- 4.5 ,0.2  +- 3.5 ,0.2  +- 4.0 ,0.2  +- 3.5 ,99.3  +- 7.8 ,38.4  +- 17.6 ,0.3  +- 5.2 ,0.3  +- 5.2 ,0.2  +- 3.3 ,100.0  +- 0.0 ,5655 +- 4998,4052 +- 3340
tl_CNN_100_raw_max,441.9  +- 6501.1 ,57.5  +- 13.5 ,41.8  +- 13.3 ,25.5  +- 14.5 ,0.4  +- 5.1 ,468.9  +- 6983.1 ,0.5  +- 6.3 ,0.4  +- 6.0 ,0.6  +- 7.4 ,0.4  +- 5.8 ,0.4  +- 5.5 ,0.4  +- 5.8 ,0.4  +- 5.8 ,0.5  +- 6.2 ,0.4  +- 5.1 ,0.4  +- 5.8 ,0.4  +- 5.1 ,99.2  +- 8.3 ,38.5  +- 17.8 ,0.5  +- 7.0 ,0.6  +- 7.4 ,0.3  +- 4.7 ,99.9  +- 1.0 ,5654 +- 5007,4037 +- 3339
resc_tl_CNN_100_raw_max,430.9  +- 6353.6 ,57.6  +- 13.5 ,41.8  +- 13.3 ,25.5  +- 14.5 ,0.4  +- 5.2 ,457.9  +- 6836.5 ,0.5  +- 6.3 ,0.4  +- 5.9 ,0.6  +- 7.4 ,0.4  +- 5.7 ,0.4  +- 5.6 ,0.4  +- 5.6 ,0.4  +- 5.7 ,0.5  +- 6.2 ,0.3  +- 4.9 ,0.4  +- 5.7 ,0.3  +- 4.9 ,99.2  +- 8.2 ,38.5  +- 17.8 ,0.5  +- 7.1 ,0.6  +- 7.4 ,0.3  +- 4.6 ,99.9  +- 0.7 ,5656 +- 5008,4035 +- 3341
gt,73679.3  +- 26352.0 ,99.4  +- 7.4 ,100.0  +- 0.0 ,85.2  +- 21.3 ,100.0  +- 0.0 ,71507.4  +- 15507.2 ,100.0  +- 0.0 ,78.5  +- 13.1 ,85.5  +- 9.7 ,73.8  +- 14.5 ,100.0  +- 0.0 ,70.9  +- 15.6 ,76.2  +- 13.3 ,86.4  +- 23.2 ,58.4  +- 13.1 ,81.4  +- 26.5 ,58.4  +- 13.1 ,99.4  +- 7.4 ,77.2  +- 27.4 ,99.9  +- 0.1 ,97.9  +- 4.2 ,60.1  +- 21.2 ,99.9  +- 0.2 ,4216 +- 7768,1258 +- 2327
always1,113864.7  +- 15038.4 ,0.0  +- 0.0 ,58.4  +- 13.1 ,78.4  +- 12.0 ,58.4  +- 13.1 ,123664.7  +- 15038.4 ,100.0  +- 0.0 ,100.1  +- 0.0 ,100.1  +- 0.0 ,100.1  +- 0.1 ,72.8  +- 11.0 ,100.1  +- 0.0 ,100.0  +- 0.0 ,86.4  +- 9.0 ,100.0  +- 0.0 ,97.4  +- 4.1 ,100.1  +- 0.0 ,0.0  +- 0.0 ,35.9  +- 22.6 ,79.0  +- 13.8 ,88.2  +- 9.0 ,92.0  +- 1.0 ,28.6  +- 23.5 ,4189 +- 3814,4052 +- 3340
always0,0.0  +- 0.0 ,57.6  +- 13.4 ,41.6  +- 13.1 ,25.2  +- 13.9 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,99.4  +- 7.4 ,38.3  +- 17.6 ,0.0  +- 0.0 ,0.0  +- 0.0 ,0.0  +- 0.0 ,100.0  +- 0.0 ,5650 +- 5003,4052 +- 3340
binterval,82193.7  +- 28767.7 ,67.0  +- 20.7 ,79.8  +- 11.6 ,82.3  +- 21.5 ,75.8  +- 14.4 ,89644.1  +- 20232.8 ,94.8  +- 14.1 ,90.6  +- 16.9 ,97.8  +- 8.5 ,95.4  +- 9.7 ,83.3  +- 13.4 ,87.0  +- 19.5 ,100.0  +- 0.0 ,83.9  +- 25.0 ,73.0  +- 16.2 ,83.6  +- 27.7 ,73.1  +- 16.2 ,56.5  +- 22.6 ,69.9  +- 27.3 ,90.3  +- 18.2 ,97.2  +- 8.0 ,67.0  +- 22.9 ,81.6  +- 22.1 ,4399 +- 7692,2346 +- 3578
wake,31097.2  +- 30771.1 ,34.0  +- 13.2 ,23.8  +- 9.9 ,32.1  +- 21.5 ,15.2  +- 15.7 ,30580.2  +- 14263.5 ,5.7  +- 5.6 ,11.4  +- 7.6 ,51.7  +- 31.0 ,11.2  +- 6.3 ,7.6  +- 6.9 ,15.2  +- 9.8 ,9.2  +- 5.0 ,25.7  +- 28.3 ,24.3  +- 9.8 ,21.7  +- 28.4 ,24.3  +- 9.8 ,49.4  +- 17.4 ,31.3  +- 19.0 ,48.3  +- 39.8 ,59.5  +- 31.8 ,24.9  +- 24.1 ,67.1  +- 29.3 ,16101 +- 9994,8021 +- 9187
sleep,99442.1  +- 17824.7 ,61.6  +- 16.5 ,76.2  +- 9.9 ,85.5  +- 12.6 ,72.6  +- 13.0 ,93084.6  +- 13570.1 ,94.3  +- 5.6 ,88.7  +- 7.6 ,86.5  +- 7.9 ,88.9  +- 6.3 ,81.3  +- 9.7 ,84.9  +- 9.8 ,90.8  +- 5.0 ,89.9  +- 11.4 ,75.7  +- 9.8 ,94.7  +- 11.1 ,75.8  +- 9.8 ,50.1  +- 17.4 ,64.2  +- 26.2 ,87.2  +- 14.4 ,94.5  +- 6.5 ,80.7  +- 11.8 ,65.4  +- 28.4 ,3098 +- 3880,2390 +- 2936
